userID,gemPackID,price,time
4,0,74.95,0
3,0,25.28,1
4,2,25.79,2
0,0,29.4,4
0,3,9.8,6
4,0,2.75,8
2,0,181.25,9
1,1,458.0,12
3,4,125.0,13
4,1,24.32,13
1,4,40.0,14
0,4,104.29,16
1,0,125.23,22
4,1,97.89,24
1,4,10.0,26
3,4,9.8,27
1,4,225.4,27
1,4,3.3,30
3,2,86.55,31
4,1,52.8,32
2,1,12.0,33
4,2,0.89,34
3,4,11.0,37
1,0,12.99,43
0,1,39.6,43
0,3,12.99,44
0,0,71.96,46
1,2,1.98,47
1,4,30.76,48
4,0,75.1,50
2,1,6.03,51
4,1,352.3,54
4,1,12.99,58
2,0,3.94,64
4,2,150.57,64
1,3,12.99,69
2,1,30.14,69
3,1,3.55,70
4,1,14.5,70
4,3,3.3,71
4,3,124.8,75
2,3,4.06,77
3,4,150.0,77
0,0,7.12,79
1,1,9.9,85
4,3,59.03,88
0,3,4.06,89
2,1,1888.43,90
1,1,29.0,90
2,2,60.0,94
1,1,191.75,95
2,1,162.0,96
1,1,103.83,96
2,3,219.65,97
1,1,15.0,97
2,0,66.7,99
2,3,65.84,100
3,1,66.05,101
3,1,12.99,102
2,3,11.0,102
2,2,0.0,103
2,3,12.99,104
3,0,0.0,105
3,0,9.63,109
0,4,52.0,112
1,4,28.56,117
3,1,16.0,122
0,4,112.03,123
3,1,29.95,126
1,1,30.0,128
0,0,12.99,134
4,3,304.0,134
3,1,43.0,135
3,4,17.0,136
1,1,38.4,138
4,2,19.0,144
3,0,6.03,144
0,3,29.95,148
4,3,59.9,149
4,0,20.0,150
2,0,80.0,152
3,0,12.99,160
3,0,78.65,160
2,2,10.0,161
0,4,8.65,162
4,3,1.8,164
2,2,106.84,166
3,3,9.99,167
3,4,4.49,173
4,4,27.31,177
0,0,4.9,177
3,2,87.36,181
1,0,38.44,181
4,1,8.95,181
1,1,7.68,182
2,1,6.03,182
1,3,1.89,186
4,4,23.6,194
2,4,4.0,195
3,1,12.99,196
0,0,36.16,199
4,4,32.5,199
2,1,12.99,202
0,4,28.48,204
1,4,65.65,204
2,1,23.1,207
2,1,69.99,207
4,1,42.8,208
0,1,9.8,210
3,4,66.3,211
0,0,24.78,211
4,0,4.9,212
3,3,12.99,214
3,1,3.13,216
1,2,11.5,217
0,4,8.0,219
0,0,15.99,221
1,4,14.7,221
1,1,12.9,223
0,2,35.97,224
3,3,1.0,225
0,2,106.27,225
2,1,0.84,228
3,1,235.28,230
1,1,29.0,232
1,4,12.11,234
1,4,16.56,236
1,0,310.01,238
2,4,43.45,238
3,1,98.0,239
4,3,69.99,239
2,1,0.89,243
3,2,4.95,243
2,3,1.24,247
0,2,44.38,248
0,4,12.99,248
2,3,10.99,249
4,1,50.0,249
2,2,12.99,252
0,0,243.68,261
4,3,4.99,267
0,2,153.5,267
3,0,20.96,269
0,1,10.0,269
0,2,11.54,270
2,2,2.49,271
3,1,9.99,271
0,3,5.55,271
0,2,4.99,272
4,2,4.99,272
3,0,32.0,274
3,3,9.99,274
4,4,1.98,274
1,0,96.59,275
0,0,9.99,275
2,1,9.99,276
3,4,4.99,276
1,1,4.99,277
2,4,4.99,278
1,1,9.99,278
2,0,188.11,278
4,0,9.99,278
2,2,9.99,279
4,3,9.99,279
1,0,75.44,280
4,2,25.97,280
3,1,9.99,281
1,2,12.99,288
1,0,9.99,288
3,1,17.05,289
0,4,12.9,290
0,2,22.49,291
4,4,50.0,291
4,3,11.55,291
4,1,19.99,292
0,1,4.99,293
2,2,8.99,295
1,1,30.0,296
0,3,12.99,296
2,2,209.0,298
0,0,1.0,298
4,0,15.86,303
1,3,7.25,305
4,0,157.6,305
2,3,9.8,306
0,2,12.99,307
3,0,1.5,309
3,2,12.99,311
2,3,3.3,314
3,0,5.0,315
0,4,2.81,322
3,2,15.74,328
3,4,4.9,330
1,4,38.7,331
3,3,4.9,332
0,0,3.76,334
4,2,150.0,341
2,1,6.69,345
4,4,55.08,346
0,4,114.69,346
0,4,6.99,346
2,1,53.23,348
1,2,39.95,351
1,4,24.99,351
4,0,98.4,351
0,1,9.99,353
1,0,5.0,353
2,0,19.71,355
3,4,1.97,359
2,2,44.1,361
4,3,12.0,362
1,1,1.78,362
2,3,3.96,367
4,1,16.1,367
0,2,27.09,368
1,3,65.01,368
4,2,115.17,368
2,1,328.87,371
3,2,124.8,371
2,4,14.7,373
0,0,12.99,377
1,3,31.0,378
1,3,36.0,382
0,4,20.3,383
2,0,16.38,383
2,0,181.17,383
4,2,20.59,385
0,4,11.99,390
0,2,1.98,393
0,0,0.99,395
2,0,88.56,397
4,2,19.66,399
2,1,500.0,402
1,4,20.0,406
1,0,1.98,408
0,0,1.79,410
4,1,72.84,411
4,1,3.84,412
1,0,13.13,413
3,2,6.0,414
0,2,12.99,422
2,4,7.61,429
3,3,2.99,430
0,1,9.8,435
0,0,7.5,444
4,4,12.99,445
2,0,2.5,447
1,0,4.9,447
2,1,0.01,448
4,1,23.65,451
4,3,14.46,457
3,3,7.17,461
1,3,15.68,464
1,4,7.92,468
4,2,9.36,478
2,0,146.44,479
3,2,9.99,488
0,3,19.54,488
1,4,23.37,489
4,1,12.99,491
0,1,18.35,494
0,0,5.03,496
3,0,14.41,496
2,1,18.19,498
1,0,4.49,501
2,3,0.89,507
0,2,15.0,513
2,1,5.43,515
2,3,8.0,517
2,1,98.0,517
3,2,77.0,522
1,4,258.01,526
1,1,157.52,528
3,4,1.98,530
1,0,4.99,534
2,1,2.24,544
3,0,5.53,546
3,2,58.9,553
2,4,0.89,554
1,1,5.0,557
0,0,4.49,557
4,4,65.55,560
0,4,80.0,565
1,0,2.0,568
3,1,56.4,573
1,0,1.0,577
3,1,19.95,579
1,4,37.07,581
4,4,206.68,582
4,3,23.01,583
2,3,74.91,587
0,2,619.16,588
2,2,1.98,590
4,1,71.84,591
0,4,64.86,591
